Date,Pork_dpp
1983-09,9.832708614247192
1983-10,10.653176117469949
1983-11,11.173360694861032
1983-12,10.034822019198653
1984-01,9.18615857151103
1984-02,8.644904252437998
1984-03,10.013191651494253
1984-04,9.028022179913243
1984-05,9.372059205891855
1984-06,8.194527738350692
1984-07,7.441251710357924
1984-08,8.594808823162987
1984-09,8.336576982784193
1984-10,10.368619543784577
1984-11,9.529013576462415
1984-12,8.742943090642486
1985-01,9.196161153052516
1985-02,7.753204016207984
1985-03,8.982563294841363
1985-04,9.37958652750465
1985-05,9.62585241706067
1985-06,7.926163852152723
1985-07,8.301000353331712
1985-08,8.842943974643573
1985-09,8.713989836760044
1985-10,9.91935508207853
1985-11,8.875249494865443
1985-12,8.678148519642853
1986-01,9.17823269238849
1986-02,7.769819487948318
1986-03,8.627943506816859
1986-04,9.446802798905912
1986-05,8.760156790055918
1986-06,7.69972286713265
1986-07,7.778153417097723
1986-08,7.601407489340764
1986-09,8.441067768863308
1986-10,9.5621243893968
1986-11,8.06913820126495
1986-12,9.074810765879823
1987-01,9.234914053194736
1987-02,7.740174937249301
1987-03,9.090293334731554
1987-04,8.714430113309012
1987-05,7.890599676412794
1987-06,7.972382197427289
1987-07,8.053101937762442
1987-08,7.9200428285342745
1987-09,9.175243561266042
1987-10,10.196998842737086
1987-11,9.747416819726345
1987-12,10.32771054803757
1988-01,9.080584025610182
1988-02,8.677049661928276
1988-03,10.044110445537848
1988-04,9.099837682774364
1988-05,8.693614146583599
1988-06,8.834008379027999
1988-07,7.990671610261447
1988-08,9.119306064739636
1988-09,9.818639179405409
1988-10,10.27067578565678
1988-11,10.289949892802019
1988-12,9.932775636173963
1989-01,9.081788613692332
1989-02,8.193608194745869
1989-03,9.572020893899422
1989-04,9.21435527416094
1989-05,9.164571874389912
1989-06,8.669335932028826
1989-07,7.511504715787492
1989-08,9.245795288990903
1989-09,9.494924994131939
1989-10,9.844431808475598
1989-11,10.09838792053238
1989-12,8.855109550584354
1990-01,9.513675812969296
1990-02,8.258023265117883
1990-03,9.20442896418479
1990-04,8.761912425290314
1990-05,8.717590808311714
1990-06,7.887928518224069
1990-07,7.661363048728204
1990-08,9.322146859048692
1990-09,8.672014853091865
1990-10,9.843956564771384
1990-11,9.703255795120633
1990-12,9.54531911872062
1991-01,9.803899407628636
1991-02,8.346262611166848
1991-03,9.057822116340853
1991-04,9.645181695965185
1991-05,8.905998099675557
1991-06,7.897521529463142
1991-07,8.421910804991342
1991-08,9.156424637931009
1991-09,9.105939910183459
1991-10,10.818505350432394
1991-11,10.104075937898644
1991-12,10.030922886898948
1992-01,10.543660059200482
1992-02,8.94655308843907
1992-03,10.080210494757436
1992-04,9.626628806305929
1992-05,8.716142076689792
1992-06,9.047207369879434
1992-07,9.382282095917708
1992-08,9.338441088677175
1992-09,10.47307652412488
1992-10,10.825780103574083
1992-11,9.889704044648514
1992-12,10.436509912647344
1993-01,9.709752289743497
1993-02,8.55668762577455
1993-03,10.024375982861633
1993-04,10.015538508502987
1993-05,8.571014900780984
1993-06,9.247091295167678
1993-07,8.755746932727824
1993-08,9.282172225991342
1993-09,9.752801356415524
1993-10,9.867313891012701
1993-11,10.109465491414754
1993-12,10.550786867199564
1994-01,9.103009750695382
1994-02,8.14836018810558
1994-03,10.237418567074627
1994-04,9.391979726299255
1994-05,9.096637227259649
1994-06,9.25858378337394
1994-07,8.453040830199182
1994-08,9.863859629975018
1994-09,10.222481334181342
1994-10,10.805280156571659
1994-11,10.696999453069518
1994-12,10.823709703127411
1995-01,9.713627351973164
1995-02,8.513232536740132
1995-03,10.702557149380056
1995-04,8.938966849694499
1995-05,9.870906041662947
1995-06,9.378413046982118
1995-07,8.170763688293702
1995-08,9.743949186480279
1995-09,9.362567473397284
1995-10,10.257216342445753
1995-11,10.503823925659512
1995-12,9.63597044206939
1996-01,10.0266155280154
1996-02,8.862741954588051
1996-03,9.087894316447036
1996-04,9.71341025062982
1996-05,8.966680179732965
1996-06,7.560702806666009
1996-07,8.618459545225472
1996-08,9.000091709271588
1996-09,9.00628452329262
1996-10,10.294162708015373
1996-11,9.217146132436902
1996-12,9.267439569658611
1997-01,9.366745500450403
1997-02,8.17602638303311
1997-03,8.96945133474644
1997-04,9.214457266333996
1997-05,8.291274256558237
1997-06,8.316035007066018
1997-07,8.514322541469083
1997-08,8.500668860880161
1997-09,9.476643659474401
1997-10,10.663652786527043
1997-11,9.23363471035473
1997-12,10.569029711288366
1998-01,10.328330679031435
1998-02,8.779276647658858
1998-03,10.051652771939233
1998-04,9.905622284847915
1998-05,8.686430466682454
1998-06,8.948997420237014
1998-07,9.649900298168207
1998-08,9.300657593432494
1998-09,9.91563621786853
1998-10,11.030673173011703
1998-11,10.423716560018944
1998-12,11.231567518275192
1999-01,9.791122505065106
1999-02,9.075753610846188
1999-03,10.658884187327956
1999-04,9.91875202449679
1999-05,8.238170623731069
1999-06,9.576447836304013
1999-07,8.899523994927897
1999-08,9.337045703403628
1999-09,9.797786612595136
1999-10,10.19117930814537
1999-11,10.253752100205348
1999-12,10.360588171964428
2000-01,9.354842803636236
2000-02,9.080262466285772
2000-03,10.240387760225085
2000-04,8.186659207416541
2000-05,9.231460848270112
2000-06,9.13278983854444
2000-07,8.345269101063925
2000-08,9.87777301775324
2000-09,9.25011588450029
2000-10,10.356442375309872
2000-11,10.307264138028648
2000-12,9.356052213489201
2001-01,10.251077174353957
2001-02,8.528231610352083
2001-03,9.75748832008736
2001-04,9.23566393398888
2001-05,9.279462564615152
2001-06,8.652389871731817
