Date,Broilers_dpp
2004-02,6.612653572955502
2004-03,7.893684013873273
2004-04,7.447248273492646
2004-05,7.381880603813392
2004-06,7.900241272273701
2004-07,7.4824252326199385
2004-08,8.309941850847249
2004-09,8.054140468455596
2004-10,7.5742652716618535
2004-11,7.223537328207771
2004-12,7.431670515743196
2005-01,7.499295327231347
2005-02,6.82141039393865
2005-03,7.864295974792267
2005-04,7.145660369487401
2005-05,7.790645289606896
2005-06,8.068620368766494
2005-07,7.131849808544936
2005-08,8.149241897576115
2005-09,7.985270566815098
2005-10,7.892170889527596
2005-11,7.4933269653661645
2005-12,7.270027325943881
2006-01,7.454623821995095
2006-02,6.574106268923359
2006-03,7.73799578035937
2006-04,6.753097876106351
2006-05,7.9135228446612045
2006-06,7.580989567421014
2006-07,6.629350436969094
2006-08,7.853595050326311
2006-09,7.012900888582606
2006-10,7.993626259934012
2006-11,7.1381271471117005
2006-12,6.7674336266980335
2007-01,7.457311685505415
2007-02,6.73915485124355
2007-03,7.5912495015830155
2007-04,7.3896228155404895
2007-05,8.31486310779215
2007-06,7.865208500791223
2007-07,7.924125039275894
2007-08,8.410582772056548
2007-09,7.577518354530908
2007-10,9.183879975622844
2007-11,7.918622621327543
2007-12,7.506381136666229
2008-01,8.484515605284978
2008-02,7.384748633914031
2008-03,7.640479620697241
2008-04,8.252798577397618
2008-05,8.180781364139268
2008-06,7.7952097543428405
2008-07,8.189619092935239
2008-08,7.828517715474828
2008-09,7.911592366156978
2008-10,8.317601737615538
2008-11,6.251916225131543
2008-12,7.140679338569974
2009-01,7.099522100696639
2009-02,6.628516038070796
2009-03,7.528791076306172
2009-04,7.460735543030136
2009-05,7.043136490022841
2009-06,7.7261610871327
2009-07,7.82329770896047
2009-08,7.541288161718553
2009-09,7.974069523250967
2009-10,7.973384974718432
2009-11,7.03283566448567
2009-12,7.53166781002027
2010-01,7.190700203117965
2010-02,6.841886649436386
2010-03,8.207584777000964
2010-04,7.842477793809385
2010-05,7.736732143160163
2010-06,7.98721533467239
2010-07,7.975484227066358
2010-08,8.328694420456987
2010-09,8.366300237674261
2010-10,8.221166675955107
2010-11,7.972922214588844
2010-12,8.04939465011643
2011-01,7.789280876543003
2011-02,7.058621955635704
2011-03,8.57512564987359
2011-04,7.361209402497175
2011-05,8.034074823112974
2011-06,8.223153364154115
2011-07,7.437424932036111
2011-08,8.382480648901923
2011-09,8.110049646694845
2011-10,7.753407665408296
2011-11,7.036930337138123
2011-12,7.125859152976085
2012-01,7.775362172794572
2012-02,7.344322419478198
2012-03,7.650420978349202
2012-04,7.601361259024544
2012-05,8.442616569509173
2012-06,7.881561988950969
2012-07,8.07254005861685
2012-08,8.677740023436264
2012-09,7.420140175505704
2012-10,8.767273314276183
2012-11,7.670838965278134
2012-12,7.114539422050365
2013-01,8.373502479895055
2013-02,7.150119056370024
2013-03,7.534413242181554
2013-04,8.178420817111634
2013-05,8.194671689924695
2013-06,7.44908923875761
2013-07,8.388511499687116
2013-08,8.327257297173437
2013-09,7.7515160438851805
2013-10,9.038835123262235
2013-11,7.193524587916229
2013-12,7.645887348073245
2014-01,8.016373561064553
2014-02,7.381496270212029
2014-03,7.643084920269928
2014-04,8.238748844018364
2014-05,8.004721050695615
2014-06,7.960301743985998
2014-07,8.530768291875999
2014-08,7.993331585540532
2014-09,8.493773141873815
2014-10,9.202110716255032
2014-11,7.283372553348545
2014-12,8.558513672865647
2015-01,8.465118993295839
2015-02,7.420620955118417
2015-03,8.588615046912567
2015-04,8.358182354341363
2015-05,8.028681570286398
2015-06,8.663750126995785
2015-07,8.7170528133539
2015-08,8.367426631013254
2015-09,8.647459622573988
2015-10,8.499083525840328
2015-11,7.34117551668819
2015-12,8.006642622318632
2016-01,7.806241836275659
2016-02,7.8227900176541265
2016-03,8.575815456228913
2016-04,7.798669988962668
2016-05,8.246306613835678
2016-06,8.317761328284487
2016-07,7.546523991241512
2016-08,8.768114068034205
2016-09,8.415715573774005
2016-10,8.186880960856513
2016-11,7.9165424102147215
2016-12,7.833712513803628
2017-01,8.349646997881363
2017-02,7.435090668451826
2017-03,8.626850523074824
2017-04,7.625669053199603
2017-05,8.82398413681643
2017-06,8.605485474676765
2017-07,7.930277664767254
2017-08,9.264022625983795
2017-09,8.249665338066439
2017-10,8.961213338268996
2017-11,8.050913101799088
2017-12,7.775432006276731
2018-01,8.74495395197059
2018-02,7.549951344579524
2018-03,8.132188979538466
2018-04,8.127465694424536
2018-05,8.8995526193069
2018-06,8.099975027704764
2018-07,8.487685981894668
2018-08,9.339552443195295
2018-09,7.7177790347571955
2018-10,9.24774095943418
2018-11,7.97359751085888
2018-12,7.259765710555759
2019-01,8.810161770406614
2019-02,7.37038298787196
2019-03,7.68158669946266
2019-04,8.280858097646668
2019-05,8.974836054631908
2019-06,8.246715614155375
2019-07,9.222258652715734
2019-08,9.14502689311444
2019-09,8.585384075512598
2019-10,9.896005436945318
2019-11,7.770559696696328
2019-12,8.458872620738324
2020-01,9.436543471929298
2020-02,7.806965709239956
2020-03,9.147633496136626
2020-04,8.221860511318175
2020-05,8.01285195766474
2020-06,8.930267180127522
2020-07,8.617110967741532
2020-08,8.60100624636168
2020-09,9.097096159622843
2020-10,9.043364435499672
2020-11,7.878217245691077
2020-12,8.760475235403074
2021-01,8.367585750600076
2021-02,7.457758818910326
2021-03,9.695004770540574
2021-04,8.73717035339358
2021-05,8.502286803741551
2021-06,9.419353258214729
2021-07,8.956155564660582
2021-08,9.53531738733482
2021-09,9.693005713547333
2021-10,9.33257310237448
